Code,Title,Description
micro,Micro,This a micro (micro) entity according to the definitions used by the procuring entity or buyer.
sme,Small or Medium Enterprise,This this a Small or Medium Enterprise (SME) according to the definitions used by the procuring entity or buyer.
large,Large,
